Phoneme,Start_Time(sec),End_Time(sec),Duration(sec)
ʋ,0.590,0.700,0.110
ɛ,0.700,0.740,0.040
n,0.740,0.810,0.070
ð,0.810,0.840,0.030
a,0.840,0.870,0.030
s,0.870,1.050,0.180
ɐ,1.050,1.140,0.090
n,1.140,1.230,0.090
l,1.230,1.260,0.030
aj,1.260,1.390,0.130
t,1.390,1.450,0.060
s,1.450,1.560,0.110
t,1.560,1.660,0.100
ɹ,1.660,1.700,0.040
aj,1.700,1.840,0.140
k,1.840,1.910,0.070
s,1.910,2.000,0.090
spn,2.000,2.700,0.700
i,2.700,2.730,0.030
n,2.730,2.800,0.070
ð,2.800,2.830,0.030
a,2.830,2.890,0.060
ɛ,2.890,3.090,0.200
ɹ,3.090,3.200,0.110
ð,3.670,3.700,0.030
e,3.700,3.800,0.100
a,3.800,3.940,0.140
k,3.940,4.010,0.070
t,4.010,4.100,0.090
a,4.100,4.140,0.040
s,4.140,4.190,0.050
a,4.190,4.240,0.050
p,4.240,4.380,0.140
ɹ,4.380,4.420,0.040
i,4.420,4.450,0.030
z,4.450,4.540,0.090
a,4.540,4.610,0.070
m,4.610,4.760,0.150
a,4.800,4.840,0.040
n,4.840,4.900,0.060
f,4.900,5.050,0.150
ɒ,5.050,5.130,0.080
ɹ,5.130,5.170,0.040
m,5.170,5.220,0.050
a,5.220,5.270,0.050
ɹ,5.270,5.400,0.130
e,5.400,5.490,0.090
n,5.490,5.580,0.090
b,5.580,5.630,0.050
o,5.630,5.710,0.080
